S.No,Region,DistrictName,SubDistrict,NamePhoneNumber,Designation
1,Northern,Tiruvallur,Tiruvallur North,,
2,Northern,Tiruvallur,Tiruvallur South,,
3,Northern,Chennai,Chennai North,,
4,Northern,Chennai,Chennai Central,,
5,Northern,Chennai,Chennai South,,
6,Northern,Kancheepuram,Kanchipuram South,,
7,Northern,Kancheepuram,Kanchipuram North,,
8,Northern,Chengalpattu,Chengalpet South,,
9,Northern,Chengalpattu,Chengalpet North,,
10,Northern,Ranipet,Ranipet North,,
11,Northern,Vellore,Vellore North,,
12,Northern,Ranipet,Ranipet South,,
13,Northern,Vellore,Vellore South,,
14,Northern,Tirupattur,Tirupattur North,,
15,Northern,Tirupattur,Tirupattur South,,
16,Western,Krishnagiri,Krishnagiri North,,
17,Western,Krishnagiri,Krishnagiri South,,
18,Western,Dharmapuri,Dharmapuri North,,
19,Western,Dharmapuri,Dharmapuri South,,
20,Northern,Tiruvannamalai,Tiruvannamalai North,,
21,Northern,Tiruvannamalai,Tiruvannamalai South,,
22,Northern,Viluppuram,Villupuram North,,
23,Northern,Viluppuram,Villupuram South,,
24,Northern,Kallakurichi,Kallakurichi North,,
25,Northern,Kallakurichi,Kallakurichi South,,
26,Western,Salem,Salem North,,
27,Western,Salem,Salem South,,
28,Western,Namakkal,Nammakal North,,
29,Western,Namakkal,Nammakal South,,
30,Western,Erode,Erode North,,
31,Western,Tiruppur,Tiruppur North,,
32,Western,Erode,Erode South,,
33,Western,Nilgiris,Nilgiris North,,
34,Western,Nilgiris,Nilgiris South,,
35,Western,Coimbatore,Nilgiris South,,
36,Western,Tiruppur,Tiruppur South,,
37,Western,Coimbatore,Coimbatore North,,
38,Western,Coimbatore,Coimbatore South,,
39,Southern,Dindigul,Dindigul North,,
40,Southern,Dindigul,Dindigul South,,
41,Central,Karur,Karur North,,
42,Central,Karur,Karur South,,
43,Central,Tiruchirappalli,Trichy North,,
44,Central,Tiruchirappalli,Trichy South,,
45,Central,Perambalur,Perambalur North,,
46,Central,Perambalur,Perambalur South,,
47,Central,Ariyalur,Ariyalur North,,
48,Central,Ariyalur,Ariyalur South,,
49,Northern,Cuddalore,Cuddalore North,,
50,Northern,Cuddalore,Cuddalore South,,
51,Central,Mayiladuthurai,Mayiladuthurai North,,
52,Central,Mayiladuthurai,Mayiladuthurai South,,
53,Central,Nagapattinam,Nagapattinam North,,
54,Central,Nagapattinam,Nagapattinam South,,
55,Central,Thiruvarur,Thiruvarur North,,
56,Central,Thiruvarur,Thiruvarur South,,
57,Central,Thanjavur,Thanjavur North,,
58,Central,Thanjavur,Thanjavur South,,
59,Central,Pudukkottai,Pudukkottai North,,
60,Central,Pudukkottai,Pudukkottai South,,
61,Southern,Sivaganga,Sivaganga North,,
62,Southern,Sivaganga,Sivaganga South,,
63,Southern,Madurai,Madurai North,,
64,Southern,Madurai,Madurai South,,
65,Southern,Theni,Theni North,,
66,Southern,Theni,Theni South,,
67,Southern,Virudhunagar,Virudhunagar North,,
68,Southern,Virudhunagar,Virudhunagar South,,
69,Southern,Ramanathapuram,Ramanathapuram North,,
70,Southern,Ramanathapuram,Ramanathapuram South,,
71,Southern,Thoothukudi,Thoothukudi North,,
72,Southern,Thoothukudi,Thoothukudi South,,
73,Southern,Tenkasi,Tenkasi North,,
74,Southern,Tenkasi,Tenkasi South,,
75,Southern,Tirunelveli,Tirunelveli North,,
76,Southern,Tirunelveli,Tirunelveli South,,
77,Southern,Kanniyakumari,Kanniyakumari North,,
78,Southern,Kanniyakumari,Kanniyakumari South,,
